iter	Logloss
0	0.6703809632
1	0.6486635208
2	0.6304528978
3	0.6154318386
4	0.5973632601
5	0.5783939362
6	0.5632421176
7	0.5473652416
8	0.5352050463
9	0.5233720144
10	0.5112197664
11	0.497958925
12	0.4889567693
13	0.4808760219
14	0.4719346364
15	0.4618768692
16	0.4564883974
17	0.4491297934
18	0.4423961639
19	0.4353387886
20	0.4297068384
21	0.4236129125
22	0.4187596109
23	0.4127986166
24	0.4067416191
25	0.4018015862
26	0.3973417812
27	0.3941562441
28	0.3899522622
29	0.3859243658
30	0.3822999795
31	0.378988372
32	0.3751283752
33	0.3710286087
34	0.3688460191
35	0.3646127913
36	0.3619142638
37	0.3606568442
38	0.3587595357
39	0.3565729989
40	0.3545635806
41	0.3528794977
42	0.3515965939
43	0.3491422335
44	0.3465585709
45	0.3450153404
46	0.3424671756
47	0.3408377435
48	0.338944912
49	0.3370666504
50	0.3344262706
51	0.332826164
52	0.3306556278
53	0.3289187484
54	0.3265312513
55	0.3251383834
56	0.3242476781
57	0.3228299353
58	0.3216197226
59	0.3210210535
60	0.3200565444
61	0.3186824322
62	0.3176510334
63	0.3162757026
64	0.31454685
65	0.3134908676
66	0.3122512499
67	0.3112065262
68	0.310151471
69	0.3089895248
70	0.3076427778
71	0.3067186409
72	0.3058127297
73	0.3046145174
74	0.3035886288
75	0.3026818169
76	0.3007509443
77	0.300523493
78	0.2995331022
79	0.2983160814
80	0.2974745962
81	0.2968639268
82	0.2958227528
83	0.2949027485
84	0.2937552664
85	0.2922423946
86	0.292144431
87	0.2911830213
88	0.2903438939
89	0.2887336943
90	0.2870403131
91	0.286948469
92	0.2856045299
93	0.2849175135
94	0.2835218112
95	0.2827553219
96	0.2810088264
97	0.2807206313
98	0.2800047133
99	0.2793307834
100	0.2784093751
101	0.2776279449
102	0.2770139376
103	0.275829845
104	0.2751612398
105	0.2742300034
106	0.2741681205
107	0.2734030618
108	0.2730496195
109	0.2719268004
110	0.2712468836
111	0.2700077693
112	0.2699937556
113	0.2688155969
114	0.2685259448
115	0.2679719395
116	0.2674921619
117	0.2665960524
118	0.2659222285
119	0.2653431098
120	0.2649651104
121	0.2644329866
122	0.2637032933
123	0.2633026441
124	0.2623037232
125	0.261894438
126	0.2609556251
127	0.260538737
128	0.259751108
129	0.2592071162
130	0.2588063876
131	0.2587662803
132	0.2571564515
133	0.2566746341
