iter	Logloss
134	0.2557515568
135	0.2550093068
136	0.2544311417
137	0.2531047927
138	0.2528663476
139	0.2519275877
140	0.2516322931
141	0.2507096132
142	0.250330766
143	0.2499405013
144	0.2494512134
145	0.2488086224
146	0.2485010094
147	0.2480031914
148	0.2470362981
149	0.246631013
150	0.2455905279
151	0.2450617154
152	0.2443168428
153	0.2440084351
154	0.2436069383
155	0.2429018021
156	0.2428567674
157	0.2424956957
158	0.2418985897
159	0.2413228883
160	0.2407207224
161	0.2399377558
162	0.2390728527
163	0.2381093502
164	0.2373570336
165	0.2368832429
166	0.2365316285
167	0.235127502
168	0.2346200943
169	0.234111574
170	0.2337499195
171	0.2332171069
172	0.2328014639
173	0.23203969
174	0.2309311231
175	0.2305747668
176	0.2299837536
177	0.2294345432
178	0.229136414
179	0.2289092541
180	0.2284346157
181	0.22779523
182	0.2275127835
183	0.2270006604
184	0.2266267141
185	0.2258252038
186	0.2249595324
187	0.2247104645
188	0.2243232197
189	0.2236738735
190	0.2231967449
191	0.222462972
192	0.2222487397
193	0.2215125296
194	0.2211293379
195	0.2205203109
196	0.2201771206
197	0.2198541297
198	0.2195136415
199	0.2191882928
200	0.2185895046
201	0.2177233961
202	0.2173709604
203	0.2165491316
204	0.2163303693
205	0.2159791655
206	0.2157427735
207	0.2151457336
208	0.2148368888
209	0.2144514455
210	0.2141625881
211	0.2138142453
212	0.2130408552
213	0.2128121588
214	0.2125395272
215	0.2122566303
216	0.2118891213
217	0.2118106683
218	0.2111200227
219	0.2105914487
220	0.2100139194
221	0.2091237307
222	0.2085514863
223	0.2082317405
224	0.2078633838
225	0.2068781853
226	0.2066636086
227	0.2061146763
228	0.2053448359
229	0.2049181859
230	0.2044054137
231	0.2038203213
232	0.2036942641
233	0.2031453715
234	0.2027776639
235	0.2024375598
236	0.2021014823
237	0.2017961873
238	0.2017144892
239	0.2008897463
240	0.2006167571
241	0.2004576392
242	0.2001393636
243	0.1999555694
244	0.1997546355
245	0.1996359295
246	0.1993032561
247	0.1991366413
248	0.1986787319
249	0.1983539263
250	0.1980421676
251	0.1974297232
252	0.1967723502
253	0.196523918
254	0.196107626
255	0.1958735254
256	0.1952537166
257	0.1950512595
258	0.1944982211
259	0.1941908068
260	0.1935065322
261	0.1934503184
262	0.1933451891
263	0.1929274135
264	0.1928488016
265	0.1918704245
266	0.191498359
267	0.1913918124
268	0.1912605498
269	0.1912052102
270	0.1910961601
271	0.1907998588
272	0.1905739042
273	0.1894950072
274	0.1893306971
275	0.1886679199
276	0.1884812779
277	0.1879371007
278	0.1875419352
279	0.1873354117
280	0.1872045332
281	0.1866962115
282	0.1863574319
283	0.1861425771
284	0.1854348712
285	0.1853204038
286	0.1851971149
287	0.1850529114
288	0.1847668224
289	0.1847567293
290	0.1846343544
291	0.1843493117
292	0.1840469837
293	0.1839338409
294	0.183320827
295	0.1831417349
296	0.1828383075
297	0.1822828717
298	0.1813408269
299	0.1811576817
300	0.1809290515
301	0.1808966531
302	0.180694845
303	0.1804749303
304	0.180217584
305	0.1800501744
306	0.1800044643
307	0.1798234118
308	0.1796946261
309	0.1795862516
310	0.1794350677
311	0.1791580121
312	0.1788429419
313	0.1788037618
314	0.178618047
315	0.1784530216
316	0.178401947
317	0.1781060431
318	0.1773731311
319	0.1767410172
320	0.1766613589
321	0.1765099764
322	0.1761115922
323	0.1759563022
324	0.1754339271
325	0.1753983233
326	0.174413893
327	0.174350924
328	0.1737567054
329	0.1731701692
330	0.1729866531
331	0.1723974546
332	0.1714948416
333	0.1711251736
334	0.170970228
335	0.1707326571
336	0.1701827712
337	0.1698491573
338	0.1693015231
339	0.1685482396
340	0.168372896
341	0.1683384577
342	0.1681558821
343	0.1676260895
344	0.1671322319
345	0.1666757928
346	0.1658134858
347	0.1649239328
348	0.1646766133
349	0.1645902793
350	0.1644546191
351	0.1638076968
352	0.1631643905
353	0.1630167166
354	0.1624823146
355	0.1619749467
356	0.1618871424
357	0.1617466344
358	0.1611038049
359	0.1606680817
360	0.1600759029
361	0.159431484
362	0.1593162881
363	0.1588810285
364	0.1583199501
365	0.157517804
366	0.1573097044
367	0.156617456
368	0.1565618515
369	0.1561343935
370	0.1560777293
371	0.1556642718
372	0.1551047431
373	0.1549534268
374	0.1542992327
375	0.1541745
376	0.153900014
377	0.1538084083
378	0.1534068055
379	0.1526387268
380	0.1524453958
381	0.1522570451
382	0.151592652
383	0.1511552864
384	0.1507065826
385	0.1506391896
386	0.1501661407
387	0.1499158674
388	0.1498170031
389	0.1494362752
390	0.1493296623
391	0.1491798427
392	0.1487898297
393	0.1483770079
394	0.1479400131
395	0.147881892
396	0.1474960513
397	0.1471927034
398	0.1470766995
399	0.1469506423
